key,value
"(0, 0)","{'super area title': 'Northaenvagr', 'description': 'While you sail across the Northaenvagr sea, you see that life flourishes in the icy waters. Seals lounge on ice floes, their whiskered faces turned towards the sun. \n                                  Curious penguins dive beneath the surface, darting through the water with incredible speed.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 1)","{'super area title': 'Northaenvagr', 'description': ""The northern lights dance across the night sky in a spectacular display of color and light. Their vibrant hues reflect in the icy waters below, casting an otherworldly glow upon the frozen sea. \n                                  Icebergs float by like silent sentinels, their reflective surfaces catching the shimmering colors of the aurora. \n                                  It's a magical and breathtaking sight that leaves you in awe of the wonders of the Northaenvagr sea."", 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 2)","{'super area title': 'Northaenvagr', 'description': ""As far as the eye can see, the water is a vast expanse of glacial blue, its surface punctuated by jagged ice floes. Their vibrant hues reflect in the icy waters below, casting an otherworldly glow upon the frozen sea. \n                                  Icebergs float by like silent sentinels, their reflective surfaces catching the shimmering colors of the aurora. \n                                  It's a magical and breathtaking sight that leaves you in awe of the wonders of the Northaenvagr sea."", 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 3)","{'super area title': 'Northaenvagr', 'description': 'As you continue your journey, a vast expanse of icy water stretches before you. Pods of graceful orcas glide through the waves, their sleek black and white bodies a stark contrast against the blue backdrop.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 4)","{'super area title': 'Northaenvagr', 'description': 'While you sail across the Northaenvagr sea, you see that life flourishes in the icy waters. The frigid air bites at your skin, and the silence is almost overwhelming, \n                                  broken only by the occasional creaking of ice or the distant call of a lone seabird. ', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 5)","{'super area title': 'Northaenvagr', 'description': 'While you sail across the Northaenvagr sea, you see that life flourishes in the icy waters. Pods of graceful orcas glide through the waves, their sleek black and white bodies a stark contrast against the blue backdrop.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 6)","{'super area title': 'Northaenvagr', 'description': ""As you continue your journey, a vast expanse of icy water stretches before you. Their vibrant hues reflect in the icy waters below, casting an otherworldly glow upon the frozen sea. \n                                  Icebergs float by like silent sentinels, their reflective surfaces catching the shimmering colors of the aurora. \n                                  It's a magical and breathtaking sight that leaves you in awe of the wonders of the Northaenvagr sea."", 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 7)","{'super area title': 'Northaenvagr', 'description': 'The northern lights dance across the night sky in a spectacular display of color and light. The frigid air bites at your skin, and the silence is almost overwhelming, \n                                  broken only by the occasional creaking of ice or the distant call of a lone seabird. ', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 8)","{'super area title': 'Northaenvagr', 'description': 'As you continue your journey, a vast expanse of icy water stretches before you. Pods of graceful orcas glide through the waves, their sleek black and white bodies a stark contrast against the blue backdrop.', 'title': 'Northaenvagr-sea', 'short description': 'This is a short description', 'continent': None, 'type': '0'}"
"(0, 9)","{'super area title': 'West Nordreyjar', 'description': 'The landscape unfolds in a sea of undulating grasses that stretch to the horizon.  Short grasses carpet the land, bending and swaying as the gusts sweep across the plain. \n                              Herds of animals graze in the distance, their movements harmonizing with the rhythm of the land. The air is filled with the earthy scent of freshly turned soil, and the landscape feels alive with the promise of sustenance and growth.', 'title': 'West Nordreyjar-plain', 'short description': 'This is a short description', 'continent': 'Nordreyjar', 'type': '3'}"
